LncRNA,Environmental factors,P value (FDR correction)
RP11-1103G16.1,ionising radiation,0.0000 
RP11-27I1.2,ionising radiation,0.0000 
RP11-923I11.1,ionising radiation,0.0000 
RP11-727A23.5,ionising radiation,0.0000 
TTTY15,ionising radiation,0.0000 
RP11-996F15.2,ionising radiation,0.0000 
RP11-214O1.2,ionising radiation,0.0000 
RP11-452L6.5,ionising radiation,0.0000 
RP11-277P12.20,ionising radiation,0.0000 
RP11-457M11.2,ionising radiation,0.0000 
RP11-498P14.3,ionising radiation,0.0000 
XXbac-BPG300A18.13,ionising radiation,0.0000 
LINC00263,ionising radiation,0.0000 
SCARNA10,ionising radiation,0.0000 
RP13-507I23.1,ionising radiation,0.0000 
CTD-3138B18.5,ionising radiation,0.0000 
RP11-727A23.5,BPA,0.0000 
RP11-727A23.5,DDT,0.0000 
RP11-727A23.5,E2,0.0000 
TTTY15,BPA,0.0000 
TTTY15,DDT,0.0000 
TTTY15,E2,0.0000 
NUTM2A-AS1,ionising radiation,0.0000 
RP11-1103G16.1,BPA,0.0000 
RP11-1103G16.1,DDT,0.0000 
RP11-1103G16.1,E2,0.0000 
RP11-282O18.6,ionising radiation,0.0000 
RP11-834C11.4,ionising radiation,0.0000 
RP11-996F15.2,BPA,0.0000 
RP11-996F15.2,DDT,0.0000 
RP11-996F15.2,E2,0.0000 
RP11-214O1.2,BPA,0.0000 
RP11-214O1.2,DDT,0.0000 
RP11-214O1.2,E2,0.0000 
RP11-452L6.5,BPA,0.0000 
RP11-452L6.5,DDT,0.0000 
RP11-452L6.5,E2,0.0000 
AC105760.2,ionising radiation,0.0000 
RP11-361F15.2,hypoxia,0.0000 
PTCHD3P1,radiation,0.0000 
RP11-264B17.3,ionising radiation,0.0000 
RP11-277P12.20,BPA,0.0000 
RP11-277P12.20,DDT,0.0000 
RP11-277P12.20,E2,0.0000 
RP11-457M11.2,BPA,0.0000 
RP11-457M11.2,DDT,0.0000 
RP11-457M11.2,E2,0.0000 
